Country, Population, Median age, Population growth rate, Birth rate, Telephones - mobile cellular, Internet users
Eritrea, 6081196, 20.3, 0.93, 27.90, 1226660, 78215
Central African Republic, 5990855, 20.0, 2.09, 33.20, 1892114, 249336
Kyrgyzstan, 5964897, 27.3, 0.96, 20.60, 7940306, 2222732
Denmark, 5869410, 42.0, 0.48, 11.10, 7331110, 5672398
Finland, 5571665, 42.8, 0.30, 10.60, 7179481, 4922163
Turkmenistan, 5528627, 29.2, 1.06, 18.30, 8908821, 1149840
Lebanon, 5469612, 33.7, -6.68, 13.60, 3614797, 4769039
Norway, 5467439, 39.5, 0.85, 12.20, 5810113, 5183627
Slovakia, 5440602, 41.8, -0.05, 9.30, 7381164, 4391969
Congo/ Republic of the, 5293070, 19.5, 2.26, 32.60, 4933529, 437865
Ireland, 5176569, 37.8, 1.04, 13.00, 5398848, 4283516
Costa Rica, 5097988, 32.6, 1.08, 14.80, 8163744, 3694974
Liberia, 5073296, 18.0, 2.71, 37.30, 2793316, 383819
New Zealand, 4925477, 37.2, 1.44, 12.80, 6550687, 4340672
Oman, 4664844, 26.2, 1.96, 23.10, 4926899, 2801932
Croatia, 4227746, 43.9, -0.50, 8.70, 4531122, 3104212
Mauritania, 4005475, 21.0, 2.09, 29.00, 4083199, 798809
Georgia, 3997000, 38.6, 0.05, 11.60, 6638125, 3151218
Panama, 3894082, 30.1, 1.20, 17.10, 5073123, 2199433
Bosnia and Herzegovina, 3835586, 43.3, -0.19, 8.60, 4300743, 2699544
Uruguay, 3387605, 35.5, 0.27, 12.90, 4664993, 2300557
Moldova, 3364496, 37.7, -1.08, 10.70, 3039990, 2616792
Puerto Rico, 3189068, 43.6, -1.59, 8.00, 3724680, 2326006
Mongolia, 3168026, 29.8, 0.99, 16.60, 4297643, 735823
Albania, 3074579, 34.3, 0.28, 13.00, 2799066, 2196613
Armenia, 3021324, 36.6, -0.30, 11.90, 3707557, 1966942
Kuwait, 2993706, 29.7, 1.27, 18.00, 5147990, 2904801
West Bank, 2900034, 21.9, 1.77, 25.20, 4135363, 2673000
Jamaica, 2808570, 29.4, -0.07, 16.10, 2882469, 1548618
Lithuania, 2731464, 44.5, -1.13, 9.50, 4663627, 2226806
Namibia, 2630073, 21.8, 1.86, 25.70, 2921697, 1291944
Qatar, 2444174, 33.7, 1.55, 9.30, 3329155, 2355297
Botswana, 2317233, 25.7, 1.48, 20.90, 3968526, 1057079
Gabon, 2230908, 21.0, 2.50, 26.30, 3008814, 1313802
Gambia/ The, 2173999, 21.8, 1.87, 27.00, 2977068, 406918
Macedonia, 2125971, 39.0, 0.15, 10.70, 2094037, 1677569
Slovenia, 2102678, 44.9, 0.01, 8.70, 2540917, 1676445
Lesotho, 1969334, 24.7, 0.16, 23.20, 2238186, 569114
Kosovo, 1932774, 30.5, 0.66, 15.40, 620186, 1706150
Guinea-Bissau, 1927104, 18.0, 2.51, 36.90, 1555961, 72047
Gaza Strip, 1918221, 18.0, 2.13, 28.60, 4135363, 2673000
Latvia, 1881232, 44.4, -1.12, 9.20, 2067174, 1607711
Bahrain, 1505003, 32.9, 2.08, 12.70, 1706763, 1423039
Timor-Leste, 1383723, 19.6, 2.27, 32.00, 1490966, 363398
Mauritius, 1379365, 36.3, 0.54, 12.60, 2076577, 799470
Cyprus, 1266676, 37.9, 1.15, 10.90, 1801213, 1044473
Estonia, 1228624, 43.7, -0.65, 9.30, 1820088, 1111896
Trinidad and Tobago, 1208789, 37.8, -0.30, 11.40, 1880555, 939967
Eswatini, 1104479, 23.7, 0.77, 24.50, 1025061, 510984
Fiji, 935974, 29.9, 0.50, 17.40, 1097345, 462860
Djibouti, 921804, 24.9, 2.07, 22.70, 371992, 492221
Comoros, 846281, 20.9, 1.47, 23.60, 563722, 69635
Equatorial Guinea, 836178, 20.3, 2.35, 30.70, 368920, 209253
Bhutan, 782318, 29.1, 1.02, 16.30, 740026, 368714
Guyana, 750204, 27.5, 0.72, 15.50, 617998, 276498
Solomon Islands, 685097, 23.5, 1.84, 23.60, 480124, 78686
Luxembourg, 628381, 39.5, 1.80, 11.60, 837890, 587955
Macau, 614458, 40.8, 0.64, 7.90, 2108274, 508052
Montenegro, 609859, 39.6, -0.37, 11.50, 1121870, 439311
Suriname, 609569, 31.0, 0.95, 14.90, 845292, 292685
Cabo Verde, 583255, 26.8, 1.28, 19.10, 623749, 330623
Brunei, 464478, 31.1, 1.51, 16.50, 588616, 426234
Malta, 457267, 42.3, 0.87, 9.90, 653414, 365521
Belize, 399598, 23.9, 1.72, 22.00, 256479, 181660
Maldives, 391904, 29.5, -0.08, 16.00, 611662, 248004
Iceland, 350734, 37.1, 1.02, 13.30, 423390, 340117
Bahamas/ The, 337721, 32.8, 0.75, 14.80, 366217, 282739
Vanuatu, 298333, 23.0, 1.73, 22.40, 259317, 74083
French Polynesia, 295121, 33.3, 0.79, 14.00, 305233, 211101
Barbados, 294560, 39.5, 0.23, 11.30, 319177, 239664
New Caledonia, 290009, 32.9, 1.25, 14.50, 275002, 231887
Sao Tome and Principe, 211122, 19.3, 1.58, 29.70, 160189, 61193
Samoa, 203774, 25.6, 0.61, 19.60, 128776, 67662
Guam, 168485, 29.4, 0.20, 18.90, 181000, 135073
Saint Lucia, 166487, 36.9, 0.29, 12.50, 168797, 84112
Curacao, 151345, 36.7, 0.35, 13.40, 174260, 102359
Aruba, 119428, 39.9, 1.19, 12.10, 159471, 113277
Grenada, 113094, 33.3, 0.38, 14.60, 115008, 66281
Kiribati, 111796, 25.7, 1.09, 20.50, 51401, 15946
Virgin Islands, 106235, 41.8, -0.37, 12.10, nan, 68872
Tonga, 106095, 24.1, -0.16, 21.00, 63156, 43889
Micronesia/ Federated States of, 102436, 26.3, -0.60, 18.90, 21374, 36586
Saint Vincent and the Grenadines, 101390, 35.3, -0.22, 12.60, 94367, 22803
Jersey, 101073, 37.5, 0.72, 12.70, 122668, 58000
Antigua and Barbuda, 98179, 32.7, 1.18, 15.40, 187095, 72870
Seychelles, 95981, 36.8, 0.69, 12.80, 188879, 55616
Isle of Man, 90499, 44.6, 0.59, 10.80, nan, nan
Marshall Islands, 77917, 23.8, 1.43, 22.80, 21169, 29290
Andorra, 77000, 46.2, -0.06, 7.00, 97645, 78483
Dominica, 74243, 34.9, 0.13, 14.50, 78437, 51538
Bermuda, 71750, 43.6, 0.39, 11.20, 73680, 70016
Guernsey, 67052, 44.3, 0.26, 9.80, 71249, 55050
Cayman Islands, 61944, 40.5, 1.90, 11.90, 92691, 48328
Greenland, 57616, 34.3, -0.08, 14.10, 66009, 40084
Turks and Caicos Islands, 55926, 34.6, 2.00, 14.10, nan, nan
Saint Kitts and Nevis, 53821, 36.5, 0.67, 12.60, 78970, 42852
Faroe Islands, 51628, 37.2, 0.60, 14.90, 59771, 49783
Northern Mariana Islands, 51433, 32.8, -0.55, 15.10, nan, 16000
American Samoa, 49437, 27.2, -1.40, 17.80, nan, 17000
Sint Maarten, 43847, 41.1, 1.34, 12.90, 84773, nan
Liechtenstein, 39137, 43.7, 0.75, 10.40, 49355, 37815
Monaco, 39000, 55.4, 0.37, 6.40, 26725, 29821
British Virgin Islands, 37381, 37.2, 2.14, 11.10, 72589, 27818
San Marino, 34232, 45.2, 0.65, 8.80, 38921, 20328
Saint Martin, 32556, 33.3, 0.40, 14.30, nan, 1100
Gibraltar, 29581, 35.5, 0.20, 13.80, 35510, 27823
Palau, 21685, 33.9, 0.39, 11.30, 29033, 7650
Anguilla, 18090, 35.7, 1.86, 12.20, 32332, 14211
Wallis and Futuna, 15854, 34.0, 0.28, 12.70, nan, 3450
Tuvalu, 11342, 26.6, 0.87, 23.40, 7911, 5498
Nauru, 11000, 27.0, 0.46, 21.90, 9212, 5524
Cook Islands, 8574, 38.3, -2.59, 13.30, 7308, 4881
Saint Helena/ Ascension/ and Tristan da Cunha, 7862, 43.2, 0.13, 9.40, 5228, 1800
Saint Barthelemy, 7122, 45.6, -0.25, 9.30, nan, nan
Montserrat, 5373, 34.8, 0.58, 11.70, 5377, 2860
Saint Pierre and Miquelon, 5347, 48.5, -1.15, 6.70, nan, 4500
Falkland Islands (Islas Malvinas), 3198, nan, 0.01, 10.90, 4674, 3000
Svalbard, 2926, nan, -0.03, nan, nan, nan
Christmas Island, 2205, nan, 1.11, nan, nan, 790
Niue, 2000, nan, -0.03, nan, nan, 1090
Norfolk Island, 1748, nan, 0.01, nan, nan, 765
Tokelau, 1647, nan, -0.01, nan, nan, 805
Paracel Islands, 1440, nan, nan, nan, nan, nan
Holy See (Vatican City), 1000, nan, 0.00, nan, nan, nan
Cocos (Keeling) Islands, 596, nan, 0.00, nan, nan, nan
Pitcairn Islands, 50, nan, 0.00, nan, nan, 54
Antarctica, nan, nan, nan, nan, nan, 4400
